4958,臻鼎-KY
5215,科嘉-KY
4426,利勤
5871,中租-KY
8427,基勝-KY
6183,關貿
8210,勤誠
5880,合庫金
3149,正達
6702,興航
8411,福貞-KY
4952,凌通
4956,光鋐
4960,奇美材
5906,台南-KY
5706,鳳凰
3679,新至陞
8422,可寧衛
3645,達邁
4144,康聯-KY
1789,神隆
3698,隆達
8011,台通
5007,三星
8199,廣鎵
4984,科納-KY
3669,圓展
1337,再生-KY
4934,太極
4935,茂林-KY
3454,晶睿
4942,嘉彰
8404,百和興業-KY
3694,海華
3665,貿聯-KY
3257,虹冠電
4746,台耀
3598,奕力
3705,永信
4733,上緯
6214,精誠
3432,台端
3312,弘憶股
2114,鑫永銓
8271,宇瞻
3697,F-晨星
4737,華廣
1762,中化生
1590,亞德客-KY
2637,慧洋-KY
2723,美食-KY
2231,為升
8215,明基材
3591,艾笛森
3550,聯穎
3673,TPK-KY
4919,新唐
6230,超眾
6278,台表科
3704,合勤控
3584,介面
3686,達能
4938,和碩
4930,燦星網
3638,F-IML
3703,欣陸
2597,潤弘
3164,景岳
3229,晟鈦
4133,亞諾法
8213,志超
3579,尚志
3617,碩天
6243,迅杰
8039,台虹
1582,信錦
8261,富鼎
6152,百一
3653,健策
3607,谷崧
8103,瀚荃
6224,聚鼎
3573,穎台
3588,通嘉
2049,上銀
3614,誠致
8940,新天地
3605,宏致
3622,洋華
6251,定穎
3593,力銘
3596,智易
1773,勝一
3576,新日光
8081,致新
6108,競國
2038,海光
8374,羅昇
2208,台船
3561,昇陽光電
3209,全科
6226,光鼎
3559,全智科
6164,華興
4108,懷特
3305,昇貿
2059,川湖
3080,威力盟
5533,皇鼎
3536,誠創
3534,雷凌
3308,聯德
9958,世紀鋼
3557,嘉威
3535,晶彩科
3519,綠能
1583,程泰
9955,佳龍
3419,譁裕
6213,聯茂
6153,嘉聯益
6205,詮欣
6283,淳安
8021,尖點
4306,炎洲
8070,長華
4104,佳醫
3376,新日興
3090,日電貿
3296,勝德
8112,至上
6215,和椿
3494,誠研
3383,新世紀
3533,嘉澤
3532,台勝科
5388,中磊
8131,福懋科
8163,達方
3518,柏騰
6271,同欣電
2062,橋椿
3515,華擎
3514,昱晶
8110,華東
8201,無敵
6191,精成科
4725,信昌化
3501,維熹
5522,遠雄
3094,聯傑
3545,敦泰
8033,雷虎
6176,瑞儀
3504,揚明光
8105,凌巨
3443,創意
6255,奈普
3315,宣昶
3481,群創
6120,輔祥
6155,鈞寶
3450,聯鈞
8046,南電
3474,華亞科
3130,一零四
3406,玉晶光
6281,全國電
6005,群益證
3702,大聯大
3367,英華達
4904,遠傳
8072,陞泰
8249,菱光
3356,奇偶
6184,大豐電
1560,中砂
5531,鄉林
3271,其樂達
6280,崇貿
2227,裕日車
3380,明泰
5607,遠雄港
5525,順天
3214,元砷
5854,合庫
6166,凌華
6197,佳必琪
4106,雃博
6239,力成
6209,今國光
8008,建興電
3189,景碩
6131,悠克
6216,居易
6192,巨路
6201,亞弘電
6202,盛群
5203,訊連
6225,天瀚
4414,如興
6116,彩晶
3701,大眾控
6235,華孚
6206,飛捷
3142,遠茂
6004,元京證
6115,鎰勝
5305,敦南
8101,華冠
6172,互億
6189,豐藝
6196,帆宣
5534,長虹
6605,帝寶
3311,閎暉
4119,旭富
6505,台塑化
8016,矽創
8078,華寶
1737,臺鹽
6277,宏正
6141,柏承
6286,立錡
5515,建國
6269,台郡
6285,啟碁
4526,東台
6282,康舒
3063,飛信
6289,華上
6117,迎廣
5608,四維航
5434,崇越
6012,金鼎證
6132,銳普
8926,台汽電
5484,慧友
6168,宏齊
6136,富爾特
5471,松翰
6145,勁永
5469,瀚宇博
6133,金橋
6139,亞翔
6257,矽格
3231,緯創
6119,大傳
4532,瑞智
6112,聚碩
6165,捷泰
6142,友勁
3062,建漢
4906,正文
6128,上福
3060,銘異
3061,璨圓
1541,錩泰
3056,總太
1477,聚陽
1736,喬山
2892,第一金
3059,華晶科
3016,嘉晶
3057,喬鼎
3055,蔚華科
3058,立德
3054,立萬利
3030,德律
1539,巨庭
3050,鈺德
3014,聯陽
3051,力特
3015,全漢
3048,益登
3049,和鑫
3017,奇鋐
2855,統一證
2856,元富證
2854,寶來證
3013,晟銘電
3012,廣輝
3047,訊舟
3043,科風
3044,健鼎
3045,台灣大
3046,建碁
3029,零壹
3031,佰鴻
3032,偉訓
3033,威健
3034,聯詠
3035,智原
9944,新麗
3036,文曄
3037,欣興
3038,全台
3039,宏傳
3040,遠見
3041,揚智
1540,喬福
3042,晶技
3028,增你強
1735,日勝化
1538,正峰新
1734,杏輝
3026,禾伸堂
3027,盛達
3023,信邦
3024,憶聲
3025,星通
2548,華固
9943,好樂迪
3021,鴻名
3022,威達電
3020,奇普仕
3018,同開
3019,亞光
3009,奇美
3011,今皓
3010,華立
2891,中信金
2890,建華金
3007,綠點
2498,宏達電
2889,國票金
2495,普安
3008,大立光
2496,卓越
3006,晶豪科
3005,神基
3004,豐達科
2499,東貝
3003,健和興
2888,新光金
2887,台新金
2497,怡利電
2885,復華金
2886,交銀金
9942,茂順
2884,玉山金
2455,全新
2493,揚博
3002,歐格
1537,廣隆
3001,協和
2494,突破
2882,國泰金
2883,開發金
2880,華南金
2881,富邦金
2456,奇力新
2487,友立資
2488,漢平
2489,瑞軒
2490,皇統
2491,訊碟
2618,長榮航
2492,華新科
2469,力信
9941,裕融
1536,和大
1732,毛寶
2470,品佳
1733,五鼎
2471,資通
2472,立隆電
2473,思源
2474,可成
2475,華映
2476,鉅祥
2477,美隆電
2478,大毅
2479,和立
2480,敦陽科
2481,強茂
2482,連宇
2483,百容
2484,希華
2485,兆赫
2486,一詮
1535,中宇
2466,冠西電
2467,志聖
1534,新企
2468,華經
2463,研揚
1730,花仙子
9940,信義
1731,美吾華
2464,盟立
2465,麗臺
1236,宏亞
2462,良得電
2459,敦吉
2460,建通
2461,光群雷
2034,允強
2458,義隆
2457,飛宏
2454,聯發科
2446,全懋
2452,乾坤
2448,晶電
2450,神腦
2453,凌群
2449,京元電子
2451,創見
1476,儒鴻
2447,鼎新
1533,車王電
2445,南方
1729,必翔
9939,宏全
9938,百和
2443,利碟
